Categoria,Tipo,Critério-B,Nº Cat,Categoria-Tipo,Ref #,Categoria-Conceito,Categoria-Exemplos,Categoria-Descrição,Tipo-Conceito,Tipo-Exemplos,Tipo-Descrição,Critério-B-Conceito,Pergunta,1 - Sem barreiras,5 - Com barreiras impeditivas
Busca e Acesso,Navegar,Compatibilidade,5,Bus - Navegar,1,"Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações.","ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.","Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações. ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.",É o comportamento da pessoa usuária de interagir com as diferentes telas e recursos disponíveis na plataforma digital do orgão ou serviço.,ex: clicar em links internos para navegar entre as diferentes páginas de um site.,"É o comportamento da pessoa usuária de interagir com as diferentes telas e recursos disponíveis na plataforma digital do orgão ou serviço. ex: clicar em links internos para navegar entre as diferentes páginas de um site.","Refere-se à capacidade de diferentes tecnologias e sistemas interagirem de forma eficaz, garantindo que as ferramentas digitais estejam ao alcance de todos, independentemente do dispositivo ou sistema operacional utilizado.",O site ou aplicativo permite o uso confortável por diferentes tipos de dispositivos e pessoas usuárias?,O design do site ou aplicativo é responsivo e disponível em todos os formatos e com todos os elementos otimizados.,Disponível apenas para computadores desktop.
Busca e Acesso,Navegar,Conteúdo,5,Bus - Navegar,2,"Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações.","ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.","Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações. ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.",É o comportamento da pessoa usuária de interagir com as diferentes telas e recursos disponíveis na plataforma digital do orgão ou serviço.,ex: clicar em links internos para navegar entre as diferentes páginas de um site.,"É o comportamento da pessoa usuária de interagir com as diferentes telas e recursos disponíveis na plataforma digital do orgão ou serviço. ex: clicar em links internos para navegar entre as diferentes páginas de um site.","Refere-se às informações que a pessoa usuária encontra no site ou aplicativo do serviço, desde textos e imagens até dados e funcionalidades. Um bom conteúdo é relevante, preciso, atualizado e organizado de forma lógica, facilitando a busca e a compreensão das informações.",O conteúdo do site ou aplicativo é claro para ajudar a pessoa usuária a navegar e entender as informações?,O conteúdo inteiro é escrito com sentenças claras e concisas e sem informações desnecessárias.,"A maior parte do conteúdo é escrita com sentenças longas e complexas, com muitas informações desnecessárias."
Busca e Acesso,Acessar conteúdo,Conteúdo,6,Bus - Acessar conteúdo,1,"Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações.","ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.","Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações. ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.","É o comportamento da pessoa usuária de interagir com informações apresentadas na plataforma digital, envolvendo atenção e compreensão do texto ou imagens, inclusive por meio de tecnologias acessíveis.",ex: fazer leitura de informações sobre renovação de documentos.,"É o comportamento da pessoa usuária de interagir com informações apresentadas na plataforma digital, envolvendo atenção e compreensão do texto ou imagens, inclusive por meio de tecnologias acessíveis.ex: fazer leitura de informações sobre renovação de documentos.","Refere-se às informações que a pessoa usuária encontra no site ou aplicativo do serviço, desde textos e imagens até dados e funcionalidades. Um bom conteúdo é relevante, preciso, atualizado e organizado de forma lógica, facilitando a busca e a compreensão das informações.",Há informações claras e suficientes no site ou no aplicativo para a pessoa usuária tomar uma decisão informada e/ou saber o que fazer a seguir?,"As informações são abundantes, relevantes, bem organizadas e fáceis de encontrar. A pessoa usuária se sente segura e confiante para tomar uma decisão.","Não há informações relevantes ou elas são incompletas, imprecisas e confusas, impossibilitando qualquer decisão posterior."
Busca e Acesso,Acessar conteúdo,Conteúdo,6,Bus - Acessar conteúdo,2,"Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações.","ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.","Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações. ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.","É o comportamento da pessoa usuária de interagir com informações apresentadas na plataforma digital, envolvendo atenção e compreensão do texto ou imagens, inclusive por meio de tecnologias acessíveis.",ex: fazer leitura de informações sobre renovação de documentos.,"É o comportamento da pessoa usuária de interagir com informações apresentadas na plataforma digital, envolvendo atenção e compreensão do texto ou imagens, inclusive por meio de tecnologias acessíveis.ex: fazer leitura de informações sobre renovação de documentos.","Refere-se às informações que a pessoa usuária encontra no site ou aplicativo do serviço, desde textos e imagens até dados e funcionalidades. Um bom conteúdo é relevante, preciso, atualizado e organizado de forma lógica, facilitando a busca e a compreensão das informações.",As informações são precisas e atualizadas?,Todo o conteúdo é preciso e atualizado. Há um processo em vigor para atualizar o conteúdo regularmente.,A maior parte ou todo o conteúdo é impreciso e/ou desatualizado. O conteúdo raramente ou nunca é atualizado e não há processo para atualizá-lo.
Busca e Acesso,Acessar conteúdo,Design,6,Bus - Acessar conteúdo,3,"Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações.","ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.","Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações. ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.","É o comportamento da pessoa usuária de interagir com informações apresentadas na plataforma digital, envolvendo atenção e compreensão do texto ou imagens, inclusive por meio de tecnologias acessíveis.",ex: fazer leitura de informações sobre renovação de documentos.,"É o comportamento da pessoa usuária de interagir com informações apresentadas na plataforma digital, envolvendo atenção e compreensão do texto ou imagens, inclusive por meio de tecnologias acessíveis.ex: fazer leitura de informações sobre renovação de documentos.","Refere-se à estética visual, incluindo a escolha de cores, fontes, layout e elementos gráficos.","Há recursos visuais (ícones, negritos, etc) para ajudar a pessoa usuária a identificar e entender informações-chave?","A coloração e o negrito das palavras facilitam a identificação e compreensão rápida das informações chave.Ícones/imagens claros e envolventes são usados para ajudar a pessoa usuária a encontrar e entender informações-chave rapidamente (ex. ícones relevantes combinados com texto ou estatísticas, um processo visualizado como um infográfico passo-a-passo).","Não há uso de coloração nem negrito, dificultando a identificação das informações chave pela pessoa usuária.Não há ícones ou imagens no texto, tornando-o pouco envolvente e difícil para a pessoa usuária encontrar e entender rapidamente informações-chave."
Busca e Acesso,Acessar conteúdo,Conteúdo,6,Bus - Acessar conteúdo,4,"Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações.","ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.","Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações. ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.","É o comportamento da pessoa usuária de interagir com informações apresentadas na plataforma digital, envolvendo atenção e compreensão do texto ou imagens, inclusive por meio de tecnologias acessíveis.",ex: fazer leitura de informações sobre renovação de documentos.,"É o comportamento da pessoa usuária de interagir com informações apresentadas na plataforma digital, envolvendo atenção e compreensão do texto ou imagens, inclusive por meio de tecnologias acessíveis.ex: fazer leitura de informações sobre renovação de documentos.","Refere-se às informações que a pessoa usuária encontra no site ou aplicativo do serviço, desde textos e imagens até dados e funcionalidades. Um bom conteúdo é relevante, preciso, atualizado e organizado de forma lógica, facilitando a busca e a compreensão das informações.",Assunto e títulos são claros para ajudar a pessoa usuária a entender as informações disponíveis?,"Os títulos são curtos, claros e descritivos e quando relevante, usam um formato de pergunta e resposta.",Não são utilizados títulos para dividir as informações.
Busca e Acesso,Acessar conteúdo,Confiança,6,Bus - Acessar conteúdo,5,"Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações.","ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.","Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações. ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.","É o comportamento da pessoa usuária de interagir com informações apresentadas na plataforma digital, envolvendo atenção e compreensão do texto ou imagens, inclusive por meio de tecnologias acessíveis.",ex: fazer leitura de informações sobre renovação de documentos.,"É o comportamento da pessoa usuária de interagir com informações apresentadas na plataforma digital, envolvendo atenção e compreensão do texto ou imagens, inclusive por meio de tecnologias acessíveis.ex: fazer leitura de informações sobre renovação de documentos.","Refere-se à relação de credibilidade estabelecida entre a instituição pública e o cidadão, sustentada pela transparência nas ações e pela disponibilização de informações precisas e oportunas. É o sentimento de que a outra parte agirá de forma justa, honesta e confiável.",A fonte da informação é reconhecida?,"O conteúdo é assinado por mensageiro(a) muito confiável e facilmente reconhecível, ou em nome dele/dela.","O conteúdo é assinado por mensageiro(a), ou em nome dele(a), que provavelmente terá um impacto negativo na pessoa usuária, fazendo -a se sentir ansiosa ou insegura."
Busca e Acesso,Acessar conteúdo,Facilidade de entendimento,6,Bus - Acessar conteúdo,6,"Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações.","ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.","Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações. ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.","É o comportamento da pessoa usuária de interagir com informações apresentadas na plataforma digital, envolvendo atenção e compreensão do texto ou imagens, inclusive por meio de tecnologias acessíveis.",ex: fazer leitura de informações sobre renovação de documentos.,"É o comportamento da pessoa usuária de interagir com informações apresentadas na plataforma digital, envolvendo atenção e compreensão do texto ou imagens, inclusive por meio de tecnologias acessíveis.ex: fazer leitura de informações sobre renovação de documentos.","Refere-se à experiência do receptor da mensagem na compreensão do conteúdo. O foco está na pessoa usuária, considerando fatores como conhecimento prévio, linguagem simples e contexto cultural.",O conteúdo é fácil de entender?,"O conteúdo disponível é escrito de forma simples, com voz ativa, linguagem consistente e frases curtas, com uso de pronomes pessoais para envolver e direcionar para a ação. Todos os termos técnicos são explicados claramente, tornando fácil para todos os perfis de pessoas usuárias compreendem as informações rapidamente e sem qualquer dificuldade.","O conteúdo é totalmente incompreensível, com linguagem extremamente técnica, jargões complexos, uso de voz passiva, frases longas e estrutura confusa. A pessoa usuária não consegue entender o significado das informações."
Busca e Acesso,Acessar conteúdo,Empatia,6,Bus - Acessar conteúdo,7,"Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações.","ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.","Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações. ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.","É o comportamento da pessoa usuária de interagir com informações apresentadas na plataforma digital, envolvendo atenção e compreensão do texto ou imagens, inclusive por meio de tecnologias acessíveis.",ex: fazer leitura de informações sobre renovação de documentos.,"É o comportamento da pessoa usuária de interagir com informações apresentadas na plataforma digital, envolvendo atenção e compreensão do texto ou imagens, inclusive por meio de tecnologias acessíveis.ex: fazer leitura de informações sobre renovação de documentos.","Refere-se ao tratamento que é dado a cada cidadão de forma individualizada, reconhecendo suas particularidades e necessidades específicas.","As consequências desfavoráveis ou inesperadas são comunicadas de forma clara, transparente e empática?","As consequências desfavoráveis (ex. rejeições) são explicadas claramente com transparência e empatia, demonstrando grande cuidado com os sentimentos das pessoas envolvidas.",As consequências são pouco claras e entregues sem explicação nem empatia.
Preparação e Entrega,Preencher,Design,1,Pre - Preencher,1,"Envolve o conjunto de comportamentos necessários para elaborar, preencher, encaminhar informações e manifestar concordância.","ex: - preencher informações de cadastro; - solicitar agendamento; - anexar certificados de cursos realizados; - assinar documento;- confirmar leitura ou recebimento de mensagem; - enviar documentos para a chefia imediata.","Envolve o conjunto de comportamentos necessários para elaborar, preencher, encaminhar informações e manifestar concordância.ex: - preencher informações de cadastro; - solicitar agendamento; - anexar certificados de cursos realizados; - assinar documento;- confirmar leitura ou recebimento de mensagem; - enviar documentos para a chefia imediata.","É o comportamento da pessoa usuária de inserir dados específicos, em campos pré-determinados, com o objetivo de registrar ou comunicar informações relevantes para solicitar o serviço fim.",ex: preencher um formulário para informar as atividades profissionais realizadas em determinado mês.,"É o comportamento da pessoa usuária de inserir dados específicos, em campos pré-determinados, com o objetivo de registrar ou comunicar informações relevantes para solicitar o serviço fim.ex: preencher um formulário para informar as atividades profissionais realizadas em determinado mês.","Refere-se à estética visual, incluindo a escolha de cores, fontes, layout e elementos gráficos.",Os campos do formulário são claros e organizados?,"Todas as perguntas são curtas e claramente focadas. Não há perguntas de duplo sentido.Todas as perguntas são claramente agrupadas e ordenadas logicamente.",Mais de 10% das perguntas são longas e/ou de duplo sentido. As perguntas não são agrupadas ou ordenadas logicamente.
