,Comportamento,Categoria,Tipo,Critério,Pergunta,Resposta,1 - Sem prejuízo,5 - Com prejuízos
10,Realizar login,Escolha,Selecionar entre alternativas,Emoção,A interface utilizada para esse comportamento gera respostas emocionais negativas na pessoa usuária?,3,"Durante a execução dessa etapa, a pessoa usuária não relata estados negativos na utilização da interface digital. A pessoa usuária parece estar tranquila, demonstra calma e desenvoltura em suas falas e comportamentos. Ao final, indica que está relaxado e relata estados satisfatórios resultantes da interação.","O usuário apresenta relatos associados a aumento de estresse, irritação ou tristeza. Ao final desta etapa, o usuário relata insatisfação no processo de interação com o serviço demandando, inclusive indicando desinteresse em continuar em sua tentativa de obter o produto ou serviço pretendido."
11,Realizar login,Escolha,Selecionar entre alternativas,Consequência,A existência de barreiras ao realizar este comportamento traz consequências imediatas para a pessoa usuária?,4,"As barreiras encontradas nesta etapa trazem impacto mínimo para a chance de sucesso do usuário para a obtenção do serviço ou produto pretendido. O usuário demonstra que necessitou de poucos recursos (temporais, financeiros, etc) e é capaz de prosseguir sem dificuldades para as etapas seguintes da jornada.","As barreiras encontradas nesta etapa trazem impacto significativo para a chance de sucesso do usuário, exigindo que ele faça uso demasiado de seus recursos (temporais, financeiros, etc...). Além disso, podem impedir que ele seja capaz de prosseguir no processo."
12,"Certificar-se de que possui uma conta gov.br ""prata"" ou ouro""",Preparação e Entrega,Organizar e anexar,Necessidade,A pessoa usuária se encontra em situação de alta necessidade pelo resultado desse processo? O quão essencial é esse processo para a pessoa? Não conseguir atingir os objetivos esperados com o processo traz impactos negativos para ele ou ela?,1,"O produto/serviço demandado não afeta, de forma significativa, o cotidiano da pessoa usuária. A impossibilidade de concluir sua demanda ainda permitirá que suas necessidades sejam supridas nas principais esferas de sua vida, e a pessoa usuária poderá tentar novamente em outra ocasião caso seja de seu interesse.","A não obtenção do produto ou serviço demandado trará consequências significativas para o cotidiano da pessoa usuária, impossibilitando que este atenda a necessidades básicas de sua vida. A sua qualidade de vida certamente será comprometida caso a pessoa usuária não tenha sua demanda atendida."
13,"Certificar-se de que possui uma conta gov.br ""prata"" ou ouro""",Preparação e Entrega,Organizar e anexar,Carga Cognitiva,"A interface utilizada para esse comportamento gera para a pessoa usuária uma demanda excessiva do ponto de vista de atenção, memória ou outros processos cognitivos?",2,"A pessoa usuária não apresenta dificuldades em compreender o que é necessário nesta etapa do processo. Navega de forma confortável, sem erros aparentes ou relatos de que não sabe o que fazer. Não há relatos da necessidade de informações das quais não se lembra, nem há distratores na interface que dificultem a ação do usuário.","A pessoa usuária tem muita dificuldade para continuar esta etapa do processo. Comete repetidos erros na navegação e relata não saber o que fazer (sente-se perdido). A interface exige dos usuários diversas informações das quais não se lembram. Apresenta uma arquitetura confusa e complexa, com frequência tirando sua atenção com relação à ação correta a executar."
14,"Certificar-se de que possui uma conta gov.br ""prata"" ou ouro""",Preparação e Entrega,Organizar e anexar,Emoção,A interface utilizada para esse comportamento gera respostas emocionais negativas na pessoa usuária?,3,"Durante a execução dessa etapa, a pessoa usuária não relata estados negativos na utilização da interface digital. A pessoa usuária parece estar tranquila, demonstra calma e desenvoltura em suas falas e comportamentos. Ao final, indica que está relaxado e relata estados satisfatórios resultantes da interação.","O usuário apresenta relatos associados a aumento de estresse, irritação ou tristeza. Ao final desta etapa, o usuário relata insatisfação no processo de interação com o serviço demandando, inclusive indicando desinteresse em continuar em sua tentativa de obter o produto ou serviço pretendido."
15,"Certificar-se de que possui uma conta gov.br ""prata"" ou ouro""",Preparação e Entrega,Organizar e anexar,Consequência,A existência de barreiras ao realizar este comportamento traz consequências imediatas para a pessoa usuária?,4,"As barreiras encontradas nesta etapa trazem impacto mínimo para a chance de sucesso do usuário para a obtenção do serviço ou produto pretendido. O usuário demonstra que necessitou de poucos recursos (temporais, financeiros, etc) e é capaz de prosseguir sem dificuldades para as etapas seguintes da jornada.","As barreiras encontradas nesta etapa trazem impacto significativo para a chance de sucesso do usuário, exigindo que ele faça uso demasiado de seus recursos (temporais, financeiros, etc...). Além disso, podem impedir que ele seja capaz de prosseguir no processo."
16,Anexar arquivo que será assinado e avançar,Preparação e Entrega,Organizar e anexar,Necessidade,A pessoa usuária se encontra em situação de alta necessidade pelo resultado desse processo? O quão essencial é esse processo para a pessoa? Não conseguir atingir os objetivos esperados com o processo traz impactos negativos para ele ou ela?,1,"O produto/serviço demandado não afeta, de forma significativa, o cotidiano da pessoa usuária. A impossibilidade de concluir sua demanda ainda permitirá que suas necessidades sejam supridas nas principais esferas de sua vida, e a pessoa usuária poderá tentar novamente em outra ocasião caso seja de seu interesse.","A não obtenção do produto ou serviço demandado trará consequências significativas para o cotidiano da pessoa usuária, impossibilitando que este atenda a necessidades básicas de sua vida. A sua qualidade de vida certamente será comprometida caso a pessoa usuária não tenha sua demanda atendida."
17,Anexar arquivo que será assinado e avançar,Preparação e Entrega,Organizar e anexar,Carga Cognitiva,"A interface utilizada para esse comportamento gera para a pessoa usuária uma demanda excessiva do ponto de vista de atenção, memória ou outros processos cognitivos?",1,"A pessoa usuária não apresenta dificuldades em compreender o que é necessário nesta etapa do processo. Navega de forma confortável, sem erros aparentes ou relatos de que não sabe o que fazer. Não há relatos da necessidade de informações das quais não se lembra, nem há distratores na interface que dificultem a ação do usuário.","A pessoa usuária tem muita dificuldade para continuar esta etapa do processo. Comete repetidos erros na navegação e relata não saber o que fazer (sente-se perdido). A interface exige dos usuários diversas informações das quais não se lembram. Apresenta uma arquitetura confusa e complexa, com frequência tirando sua atenção com relação à ação correta a executar."
18,Anexar arquivo que será assinado e avançar,Preparação e Entrega,Organizar e anexar,Emoção,A interface utilizada para esse comportamento gera respostas emocionais negativas na pessoa usuária?,1,"Durante a execução dessa etapa, a pessoa usuária não relata estados negativos na utilização da interface digital. A pessoa usuária parece estar tranquila, demonstra calma e desenvoltura em suas falas e comportamentos. Ao final, indica que está relaxado e relata estados satisfatórios resultantes da interação.","O usuário apresenta relatos associados a aumento de estresse, irritação ou tristeza. Ao final desta etapa, o usuário relata insatisfação no processo de interação com o serviço demandando, inclusive indicando desinteresse em continuar em sua tentativa de obter o produto ou serviço pretendido."
19,Anexar arquivo que será assinado e avançar,Preparação e Entrega,Organizar e anexar,Consequência,A existência de barreiras ao realizar este comportamento traz consequências imediatas para a pessoa usuária?,1,"As barreiras encontradas nesta etapa trazem impacto mínimo para a chance de sucesso do usuário para a obtenção do serviço ou produto pretendido. O usuário demonstra que necessitou de poucos recursos (temporais, financeiros, etc) e é capaz de prosseguir sem dificuldades para as etapas seguintes da jornada.","As barreiras encontradas nesta etapa trazem impacto significativo para a chance de sucesso do usuário, exigindo que ele faça uso demasiado de seus recursos (temporais, financeiros, etc...). Além disso, podem impedir que ele seja capaz de prosseguir no processo."
20,Escolher o local da assinatura no documento,Busca e Acesso,Navegar,Necessidade,A pessoa usuária se encontra em situação de alta necessidade pelo resultado desse processo? O quão essencial é esse processo para a pessoa? Não conseguir atingir os objetivos esperados com o processo traz impactos negativos para ele ou ela?,5,"O produto/serviço demandado não afeta, de forma significativa, o cotidiano da pessoa usuária. A impossibilidade de concluir sua demanda ainda permitirá que suas necessidades sejam supridas nas principais esferas de sua vida, e a pessoa usuária poderá tentar novamente em outra ocasião caso seja de seu interesse.","A não obtenção do produto ou serviço demandado trará consequências significativas para o cotidiano da pessoa usuária, impossibilitando que este atenda a necessidades básicas de sua vida. A sua qualidade de vida certamente será comprometida caso a pessoa usuária não tenha sua demanda atendida."
21,Escolher o local da assinatura no documento,Busca e Acesso,Navegar,Carga Cognitiva,"A interface utilizada para esse comportamento gera para a pessoa usuária uma demanda excessiva do ponto de vista de atenção, memória ou outros processos cognitivos?",5,"A pessoa usuária não apresenta dificuldades em compreender o que é necessário nesta etapa do processo. Navega de forma confortável, sem erros aparentes ou relatos de que não sabe o que fazer. Não há relatos da necessidade de informações das quais não se lembra, nem há distratores na interface que dificultem a ação do usuário.","A pessoa usuária tem muita dificuldade para continuar esta etapa do processo. Comete repetidos erros na navegação e relata não saber o que fazer (sente-se perdido). A interface exige dos usuários diversas informações das quais não se lembram. Apresenta uma arquitetura confusa e complexa, com frequência tirando sua atenção com relação à ação correta a executar."
22,Escolher o local da assinatura no documento,Busca e Acesso,Navegar,Emoção,A interface utilizada para esse comportamento gera respostas emocionais negativas na pessoa usuária?,5,"Durante a execução dessa etapa, a pessoa usuária não relata estados negativos na utilização da interface digital. A pessoa usuária parece estar tranquila, demonstra calma e desenvoltura em suas falas e comportamentos. Ao final, indica que está relaxado e relata estados satisfatórios resultantes da interação.","O usuário apresenta relatos associados a aumento de estresse, irritação ou tristeza. Ao final desta etapa, o usuário relata insatisfação no processo de interação com o serviço demandando, inclusive indicando desinteresse em continuar em sua tentativa de obter o produto ou serviço pretendido."
23,Escolher o local da assinatura no documento,Busca e Acesso,Navegar,Consequência,A existência de barreiras ao realizar este comportamento traz consequências imediatas para a pessoa usuária?,5,"As barreiras encontradas nesta etapa trazem impacto mínimo para a chance de sucesso do usuário para a obtenção do serviço ou produto pretendido. O usuário demonstra que necessitou de poucos recursos (temporais, financeiros, etc) e é capaz de prosseguir sem dificuldades para as etapas seguintes da jornada.","As barreiras encontradas nesta etapa trazem impacto significativo para a chance de sucesso do usuário, exigindo que ele faça uso demasiado de seus recursos (temporais, financeiros, etc...). Além disso, podem impedir que ele seja capaz de prosseguir no processo."
